node1,node2,port1,port2
0_25_1,0_36_1,8,3
0_25_1,0_28_1,9,5
0_8_1,0_25_1,9,2
0_9_1,0_25_1,6,3
0_15_1,0_25_1,5,5
0_15_1,0_16_1,4,4
0_15_1,0_20_1,6,5
0_23_1,0_25_1,3,7
0_14_1,0_15_1,6,3
0_14_1,0_18_1,5,2
0_14_1,0_17_1,4,3
0_14_1,0_16_1,3,3
0_26_1,0_32_1,3,2
0_26_1,0_31_1,4,2
0_24_1,0_28_1,6,4
0_24_1,0_26_1,5,2
0_8_1,0_24_1,8,2
0_9_1,0_24_1,5,3
0_16_1,0_20_1,5,6
0_21_1,0_25_1,8,6
0_21_1,0_34_1,6,2
0_8_1,0_21_1,7,2
0_21_1,0_24_1,7,4
0_9_1,0_21_1,4,3
0_18_1,0_21_1,4,4
0_11_1,0_20_1,3,3
0_11_1,0_15_1,4,2
0_11_1,0_19_1,2,2
0_31_1,0_32_1,3,3
0_10_1,0_16_1,2,2
0_10_1,0_17_1,3,2
0_12_1,0_13_1,4,2
0_12_1,0_25_1,2,4
0_12_1,0_14_1,5,2
0_12_1,0_20_1,3,4
0_37_1,0_38_1,3,3
0_19_1,0_20_1,3,7
0_4_1,0_5_1,3,2
0_4_1,0_7_1,4,3
0_4_1,0_8_1,2,4
0_20_1,0_21_1,9,5
0_20_1,0_36_1,8,2
0_20_1,0_23_1,10,2
0_20_1,0_28_1,11,3
0_9_1,0_20_1,3,2
0_8_1,0_9_1,6,2
0_33_1,0_38_1,3,2
0_33_1,0_35_1,2,2
0_6_1,0_8_1,4,5
0_9_1,0_28_1,7,2
0_0_1,0_7_1,6,2
0_0_1,0_8_1,2,2
0_0_1,0_1_1,3,2
0_0_1,0_3_1,4,2
0_0_1,0_6_1,5,2
0_29_1,0_30_1,4,3
0_2_1,0_29_1,2,2
0_29_1,0_37_1,3,2
0_2_1,0_30_1,3,2
0_17_1,0_18_1,4,3
0_1_1,0_8_1,3,3
0_1_1,0_6_1,4,3
